epoch,epsilon,time,reward
0,0.5,1701682831.1289692,-51.63131886087768
1,0.5,1701682831.8487432,-54.46641845627135
2,0.5,1701682832.514225,-50.669941254279465
3,0.5,1701682833.2196126,-49.18163398692807
4,0.5,1701682833.900065,-50.51491674447558
5,0.5,1701682834.5605206,-56.2328750389045
6,0.5,1701682835.2104635,-50.09505368814196
7,0.5,1701682835.8441184,-48.74421763149705
8,0.5,1701682836.8554614,-50.508946078431364
9,0.5,1701682837.6945376,-50.05121265172741
10,0.5,1701682838.3268647,-50.335590569561234
11,0.5,1701682838.9305162,-50.28688608776842
12,0.5,1701682839.4900887,-50.01279061624647
13,0.5,1701682840.435396,-53.386076875194526
14,0.5,1701682841.4726062,-50.5836336756925
15,0.5,1701682842.057069,-50.71958255524433
16,0.5,1701682842.5952265,-49.614436274509835
17,0.5,1701682843.1679,-54.44551704014939
18,0.5,1701682843.752046,-52.62066682228452
19,0.5,1701682844.3292851,-50.1097210550887
20,0.5,1701682845.1143994,-52.79912153750389
21,0.5,1701682845.714109,-50.24411647992532
22,0.5,1701682846.2943873,-52.65023225957053
23,0.5,1701682846.8947306,-53.265259103641476
24,0.5,1701682847.4839191,-52.918546529722995
25,0.5,1701682848.1776516,-54.568104964207826
26,0.5,1701682848.941567,-49.02377139744784
27,0.5,1701682849.5758252,-50.6338974478681
28,0.5,1701682850.3945625,-50.719207905384415
29,0.5,1701682851.1101823,-48.57438025210089
30,0.5,1701682851.7232714,-50.190780423280366
31,0.5,1701682852.269267,-56.93381574852171
32,0.5,1701682852.8117177,-48.78828664799257
33,0.5,1701682853.3643422,-48.89693899782132
34,0.5,1701682853.9488652,-56.023314659196984
35,0.5,1701682854.5337296,-54.32714246809832
36,0.5,1701682855.1000674,-52.228408807967604
37,0.5,1701682855.713135,-50.44922657952067
38,0.5,1701682856.3044143,-51.18532407407413
39,0.5,1701682857.0098693,-49.98866013071898
40,0.5,1701682857.7432666,-53.75967047930281
41,0.5,1701682858.3942282,-57.16292250233433
42,0.5,1701682859.0497644,-49.30131574852166
43,0.5,1701682859.6771736,-47.859279489573574
44,0.5,1701682860.3097117,-50.966928104575125
45,0.5,1701682860.9915903,-50.349409430438904
46,0.5,1701682861.6815152,-49.11960667600366
47,0.5,1701682862.4069543,-60.111655773420466
48,0.5,1701682863.0404587,-53.538201058201096
49,0.5,1701682863.6733737,-51.70082360722068
50,0.5,1701682864.312708,-51.549500855897904
51,0.5,1701682864.974455,-51.31475645813872
52,0.5,1701682865.825684,-49.018804077186445
53,0.5,1701682866.4995246,-49.08212807345157
54,0.5,1701682867.1726794,-49.54188725490199
55,0.5,1701682867.8233461,-53.27363523187052
56,0.5,1701682868.470369,-49.06196389666979
57,0.5,1701682869.0838983,-53.06373599439782
58,0.5,1701682869.766357,-49.65922113289764
59,0.5,1701682870.4799414,-53.27885037348271
60,0.5,1701682871.1646569,-49.86272603485836
61,0.5,1701682871.7910302,-58.36170518207278
62,0.5,1701682872.491315,-49.41072478991598
63,0.5,1701682873.2065423,-52.42689542483659
64,0.5,1701682873.909263,-50.051465530656735
65,0.5,1701682874.5580282,-51.28877295362592
66,0.5,1701682875.1856167,-51.730357920946155
67,0.5,1701682875.830262,-51.096110333022125
68,0.5,1701682876.467741,-51.37966931216932
69,0.5,1701682877.1045666,-56.78580454403981
70,0.5,1701682877.7669818,-55.201632819794604
71,0.5,1701682878.4013512,-54.13395269218804
72,0.5,1701682879.0205815,-49.74328392468102
73,0.5,1701682879.6544192,-49.38234593837538
74,0.5,1701682880.333539,-53.33114184562719
75,0.5,1701682881.1876185,-51.99174719887951
76,0.5,1701682881.8816414,-50.41818277310926
77,0.5,1701682882.516177,-52.69190281668224
78,0.5,1701682883.1265047,-49.61476890756307
79,0.5,1701682883.7642753,-50.10495915032677
80,0.5,1701682884.4783318,-50.11934601618425
81,0.5,1701682885.109264,-49.92728797074386
82,0.5,1701682885.721589,-50.688874105197584
83,0.5,1701682886.3524394,-49.87812675070029
84,0.5,1701682886.971917,-51.446352707749746
85,0.5,1701682887.6480482,-49.814837379396195
86,0.5,1701682888.4301202,-50.796223155928985
87,0.5,1701682889.0919757,-50.7191857298475
88,0.5,1701682889.7380154,-51.765836834733875
